 Symptoms,Disease,Treatment
"Thirst, reduced urine output, weakness, nausea and vomiting, elevated body temperature, irritability, restlessness or apathy in the later stages, somnolence, seizures, epileptiform attacks, coma",Hypernatremia,"The treatment for hypernatremia involves primarily addressing the underlying cause. For dehydration, immediate water intake can correct hypernatremia. For hypernatremia caused by excessive water loss or sodium retention, different approaches are employed.
1. For hypernatremia due to excessive water loss, besides addressing the underlying cause, the main focus is on correcting dehydration. The volume of water loss can be calculated using the following formula:
For males: Water deficit = 0.6 × weight × [1 - (Normal serum Na+ concentration mmol/L) / (Patient's serum Na+ concentration)].
For females: Water deficit = 0.5 × weight × [1 - (Normal serum Na+ concentration mmol/L) / (Patient's serum Na+ concentration)].
The weight used in this formula refers to the patient's weight before the onset of illness. The calculated water deficit is an estimate and does not account for the deficit of isotonic fluid, the physiological requirement for daily fluid replenishment (approximately 1500ml per day), and ongoing losses.
If the patient's original weight is unknown, the required water volume can be calculated as follows:
For males: Required water volume = 4 × current weight × desired decrease in sodium concentration (mmol/L).
For females: Required water volume = 3 × current weight × desired decrease in sodium concentration (mmol/L).
2. Preferred solutions for fluid replenishment are isotonic saline and 5% glucose solution mixed in a 1/4:3/4 or 1:1 ratio. Upon entering the body, glucose is rapidly metabolized, resulting in a hypotonic solution. A solution of 0.45% saline or 5% glucose solution may also be used.
3. Routes of fluid administration include oral intake or through a nasogastric tube for patients unable to drink on their own, generally used for mild cases. This method is safe and reliable. For more severe symptoms, especially those with central nervous system manifestations, intravenous routes should be used. When administering intravenous fluids, it's important to control the infusion rate and closely monitor serum sodium concentration, aiming for a reduction in serum sodium concentration of no more than 0.5mmol/L per hour to prevent osmotic imbalance in brain cells causing cerebral edema.
4. For hypernatremia caused by sodium retention, the primary treatment is to eliminate excess sodium from the body. This can be achieved by administering 5% glucose solution and using diuretics to increase sodium excretion, such as furosemide (Lasix) or ethacrynic acid (Edecrin). These diuretics are more potent in promoting water excretion than sodium excretion, so fluid replenishment must accompany their use. In cases of renal failure, hemodialysis or peritoneal dialysis may be employed, with dialysate containing high osmolarity glucose preferred. The rate of serum sodium reduction should also be monitored to avoid rapid decreases that could lead to cerebral edema."
"Cough, headache, fatigue, symptoms of upper respiratory tract catarrh, night sweats, low fever, bloody sputum, coughing up phlegm, lemon-yellow sputum, increased eosinophils, wheezing, pulmonary rales",Simple Pulmonary Eosinophilia,"The treatment options for Simple Pulmonary Eosinophilia include: spontaneous resolution without treatment, anthelmintic therapy for those with parasites. For patients with significant and recurrent symptoms, corticosteroids can be administered until symptoms are controlled and pulmonary shadows have resolved, after which the medication can be gradually discontinued. Cough suppressant and expectorant therapies may also be administered."
"Nipple itching, burning sensation, rough and thickened skin with flaking, erosion, exudation, and ulceration",Paget's Disease of the Breast,"What are the treatment options for Paget's Disease of the Breast? 

Treatment: 
Surgical resection is the preferred treatment for this condition. 
1. Surgical Treatment: The extent of surgical resection should be determined based on whether a lump can be palpated within the breast. If the lesion is confined to the nipple without any lump in the breast or significant enlargement of the axillary lymph nodes, total mastectomy can be performed. If axillary lymph nodes are enlarged, suggesting cancer metastasis, modified radical mastectomy is recommended. In cases where there is a lump in the breast, radical mastectomy or extended radical mastectomy should be carried out. 
2. Radiation Therapy: If the patient is unable to tolerate surgery for various reasons, X-ray radiation therapy may be employed. However, the efficacy is relatively poor. Given that Paget's disease of the breast may originate from the apocrine glands, deeper X-ray treatment (tissue half-value layer of 8-10 mm) should be used. For small area lesions, a single dose of 599 rad is administered; for large area lesions, a single dose of 200-300 rad, once per day, with a total dose of 5000-8000 rad. 
Prognosis: 
The survival rate for this disease is higher compared to general breast cancer. The main factors influencing prognosis are whether there are lumps within the breast and the presence of lymph node metastasis. Nance reported a 5-year survival rate of 94.1% in 53 cases without breast lumps, and 40.6% with breast lumps. Kister reported in 159 cases, among the 133 who underwent radical mastectomy, those without axillary lymph node metastasis had a 10-year survival rate of 79%; those with lymph node metastasis had a 10-year survival rate of 28% only. In summary, patients with disease confined to the nipple have a better prognosis, those with lumps within the breast have a poorer prognosis, and the prognosis is even worse for those with lymph node metastasis."
"Erythema, papules, and multiple scales",Psoriasis,"The treatment for Psoriasis includes various measures. Neurodermatitis, a localized neurofunctional dermatosis, also known as lichen simplex chronicus, is traditionally named 'bullous lichen' in Chinese medicine due to its prevalence on the neck, resembling the thick, tough skin of a bull's neck. As described in classical texts, psoriasis presents as lichenification of the skin, significant thickening and roughness, intense itching, a slow disease progression with frequent recurrences over many years, and a high likelihood of relapse after healing. 
Treatment methods include: 
Oral Treatment: 
1. High-dose oral Vitamin A, 100,000 to 300,000 IU per day, or isotretinoin, 1mg/kg/day. However, long-term use may lead to bone demineralization, hair loss, and other toxic symptoms. 
2. Oral administration of T90 psoriasis vaccine as directed by a physician, with dosage ranging from 1 to 6 pills daily based on the condition, showing significant effectiveness. 
Western Medicine Treatment: 
1. Antihistamines and sedatives can be selectively used, such as chlorphenamine, diphenhydramine, hydroxyzine, diazepam, etc., to alleviate itching. Avoid prolonged or short-term high-dose topical corticosteroids. 
2. Intravenous medication involves 0.25% Procaine injection solution, 10-20ml mixed with 500mg of Vitamin C for IV injection; or procaine 4-6mg/kg in 0.1% saline solution combined with 500-1000mg of Vitamin C for IV infusion. Alternatively, 10ml of calcium gluconate 10% can be administered intravenously. 
3. For localized psoriasis, antipruritic and antibacterial medications can be applied. 
4. For severe cases that are resistant to treatment, further options may be considered. 
External Treatment Methods: 
1. Realgar powder topical application. 
2. Topical application of neurodermatitis medication. 
3. Plum blossom needle tapping on the affected area: once daily, 10 sessions per treatment course. 
4. Other topical medications include compound fluocinolone acetonide tincture, Skin Disease Ning, 105 black soybean distillate ointment, antipruritic alcohol, among others. 
5. Local block: 2ml of compound quinine injection mixed with 1% procaine 4–6ml for subcutaneous injection in the area (injections should not be too superficial to avoid skin necrosis), once a week, 10 sessions per course. Alternatively, 0.1% methylene blue 2ml mixed with 2% procaine 5-10ml for subcutaneous injection in the affected area, once a week. 
6. Radioisotope therapy: Applications of phosphorus-32 or strontium-90. 
7. Superficial X-ray therapy: Application of 29–43KV, 60–100R per session, once a week, 3-4 sessions per treatment course, not exceeding 2 courses per year."
"Nail blanching with slow color recovery upon light pressure, slight redness of fingertips, indented nails, flat nails, nail embedding into the flesh, formation of small grains on nails, pink coloration of the lunula on the ring finger, white nails, frostbite on nails, nail trauma, nails turning purplish-blue, thick and brittle nails with multiple cracks, and shriveled nails",Onychomycosis,"The treatment methods for onychomycosis, one of the most stubborn and difficult to cure dermatophyte infections, may include oral and topical medications, or nail avulsion surgery. Given that the growth rates of fingernails and toenails are different, with the complete replacement of a new nail requiring approximately 100 days for fingernails and about 300 days for toenails, patience is crucial in the treatment of onychomycosis.

1. Nail Avulsion Surgery: Suitable for isolated nail infections. Under local anesthesia, the infected nail is removed. This method has a large wound area, can lead to bleeding, and is prone to infection. Post-operative pain is common, and there's a high risk of reinfection. It is less commonly used in clinical practice nowadays. Patients with heart diseases, hypertension, diabetes, and other conditions are advised against surgery.

2. Oral Medications: Suitable for infections in multiple nails. For example, daily intake of Terbinafine 250mg tablets for 6-12 weeks; Itraconazole 400mg/day for 7 days, followed by a 21-day break for one cycle, continuing for 3-6 cycles; Fluconazole 150mg once to twice a week for more than 4 months. These treatments can cure over 80% of dermatophyte and fungal nail infections. However, due to the necessity for the medication to reach the part of the nail bed infested by the fungus, high dosages and long treatment durations are often required, with regular monitoring for adverse drug reactions.

3. Topical Treatment: Varies depending on the medicinal preparations, primarily involves topical application and occlusive dressing methods.

   (1) Use a nail file (avoid using blades by non-professionals to prevent bleeding and infection) to thin irregular bad nails every two days;

   (2) Apply 30% acetic acid topically or soak the infected nail in 10% acetic acid once daily, for 3-6 months or more. Thinning the infected nail before application improves treatment effectiveness. Protect the skin around the nail with a mild cream before applying the medication;

   (3) Apply antifungal topical agents such as Terbinafine solution, Amorolfine nail lacquer, or Ciclopirox olamine topical solution.

In summary, the treatment of onychomycosis requires unwavering perseverance. It is also crucial to proactively treat dermatophyte infections in other parts of the body and chronic systemic diseases to enhance the body's resistance. A focus on both treatment and prevention is essential for the complete cure of onychomycosis."
"Constipation, high fever, red and swollen breast with heat and pain, enlarged axillary lymph nodes, abscess",Mastitis,"What are the treatment options for mastitis? 
Precautions before treating mastitis include: 
[Prevention and Adjustment] 
1. Pay careful attention to breast hygiene during breastfeeding. Clean the nipples with warm boiled water to maintain cleanliness. 
2. In cases of breast trauma, nipple cracks, or purulent infections of the breast and other parts, immediate treatment should be sought. 
Traditional Chinese Medicine Treatment Methods for Mastitis: 
Internal Treatment: 
(a) For rapid onset of disease characterized by skin redness over the breast, widespread swelling, unbearable pain, and deep-set hair follicles; accompanied by cold-induced fever, constipation with dark urine; tongue red, coating yellow, pulse rapid, the diagnosis is heat toxin accumulating rapidly, involving the liver and stomach meridians with damp-heat and external pathogenic factors intertwining, causing stagnation in local meridians and collaterals. Thus, skin redness and swelling, unbearable pain, and fever due to the robust pathogen; constipation with dark urine due to heat toxin injuring body fluid. Treatment principle: Clear heat and detoxify. Prescription: Modified Huanglian Jiedu Tang. For high fever, add Shigao (Gypsum) and Zhimu (Anemarrhena) to clear heat and detoxify; for constipation, add Rhei Radix et Rhizoma (Da Huang) and Mangxiao (Mirabilite) for purgation. 
(b) For severe toxic heat causing skin ulceration and necrosis of the breast, resulting in intensified pain and persistent high fever, thirst, constipation; with red tongue, yellow dry coating, rapid pulse. The diagnosis is extreme toxic heat causing the flesh to rot, evidencing black necrotic tissues; intense pain due to blocked qi and blood. The treatment principle is to purge fire and detoxify. Prescriptions: Combine Longdan Xiegan Tang with Huanglian Jiedu Tang with modifications. If the toxic heat attacks internally, leading to high fever and delirium, use Angong Niuhuang Wan or Zixue Dan to clear the heart and open the orifices. 
(c) For cases where the acute phase subsides with discharge of necrotic tissues, reduced swelling and pain, but with slow healing and pale granulation tissue, accompanied by fatigue, pale complexion; pale tongue, thin coating, weak and thin pulse. The condition is chronic toxic heat damaging qi and blood over time, leading to weak qi and blood and malnourishment. Treatment principle: Adjust qi and blood, while clearing residual pathogens. Prescription: Si Miao Tong Jia Jian. 
External Treatment Methods: Before ulceration, apply Yulu Cream topically, or use Kuaiyi Jinhuang San mixed with vinegar for application; for necrotic foul-smelling tissues, use Huangbai (Phellodendron) solution for wet dressing, or Qi San Dan Yulu Cream for covering. After necrotic tissue discharge, use Shengji San, Hongyou Gao for dressing. If there's localized necrosis without rupturing, soft to touch with a bumpy sensation, consider making a radial incision to drain pus, followed by Qi San Dan medicated thread for drainage, and cover with Yulu Cream. For established fistulas, follow the corresponding external treatment protocol for breast fistulas."
"Scales, pustules, itching, swelling, pain",Impetigo,"The treatment options for Impetigo include systemic administration of antibiotics and local application of 0.1% Isehanol (Rifnol) solution or 1% Neomycin solution for wet compresses. Corticosteroids are effective in controlling skin lesions. Eradicating the infection source, especially in individuals with positive skin allergic reactions to Staphylococcus and Streptococcus, is crucial for treatment success, necessitating systemic antibiotics use. Even in the absence of detectable infection sources or signs, systemic antibiotic therapy may still be considered. Commonly used antibiotics include Erythromycin, Roxithromycin, Clindamycin, Ciprofloxacin, Tetracycline, Cephalosporins, Sulfonamides, and Rifampin might be chosen. Prolonging the treatment duration is advised if pustules rapidly resolve after antibiotic use, to thoroughly address the infection source. Systemic corticosteroid use can temporarily diminish pustules but carries a high recurrence risk upon discontinuation, thus requires cautious use. Moreover, oral methoxypsoralen, intramuscular Zi-dan-xin injection, and other agents prove to be equally effective. For unruptured, dry-surfaced pustules, local application of methoxypsoralen solution or ointment followed by long-wave ultraviolet light exposure, and local corticosteroid use can temporarily reduce pustules. In cases of ruptured pustules with evident local maceration, options include wet compresses with 0.1% Isehanol, 1% Neomycin, or 0.05% Wash-must-win solution, as well as the application of antibiotic and corticosteroid combination formulations to prevent secondary bacterial infections. Traditional Chinese Medicine formulas such as Liang-Xue Xiao-Feng Tang, Xi-Jiao Di-Huang Tang combined with Xiao-Du Yin, and others, adjusted accordingly, are effective. Vein injections of Ligusticum wallichii extraction liquid or Sanchinoside injection liquid also show efficacy. Wet compresses of Qian-Li-Ming decoction, Sophora flavescens decoction, or the application of Lithospermum oil, Coptis oil, etc., facilitate pustule resolution. A paste made from 50 grams of male essence, 5 grams each of Sheng-Dan and Bing-Pian, and 2 grams of Berberine tablets, mixed into a fine powder with sesame oil, also yields good therapeutic results."
"History of elbow trauma, local pain, swelling, limited flexion and extension of the elbow, limited forearm rotation",Radial Head Fracture,"What are the treatment methods for radial head fractures?
    - Treatment:
        1. Type I fractures can be treated conservatively with a long arm cast splint, fixing the elbow joint at a 90° flexion position for 4 weeks.
        2. Type II fractures have various treatment methods due to differing opinions, which are roughly as follows:
            (1) Surgery is recommended for fracture fragments that constitute more than 1/4 of the radial head (Mason classification) or more than 2/3 (Radin classification).
            (2) Surgery is also recommended for fractures with more than 30° angulation or more than 3mm collapse.
            (3) For limited autonomous activity after 2 weeks (Charnley) or 8 weeks (Adler), radial head resection, AO small screw internal fixation for larger fracture fragments may yield good results.
        3. Type III fractures, in some cases where the radial head maintains its shape despite being comminuted, conservative treatment can be considered; otherwise, radial head resection is indicated. The timing for resection is debatable. Some advocate for resection 3 weeks post-injury, but most suggest within 24 hours post-injury. This is also indicated in cases of concomitant inferior radioulnar joint and medial collateral ligament injuries with Swanson's artificial radial head replacement.
        4. Type IV fractures, due to severe soft tissue injuries and a high probability of heterotopic ossification, the radial head should be resected within 24 hours or observed for 3-4 weeks, with resection if heterotopic ossification has not occurred.
    - Prognosis:
        The prognosis is generally good."
"Sudden fainting, pale complexion, cold limbs, and thready pulse close to extinction",Syncope,"Treatment options for syncope include blood-invigorating and qi-smoothing techniques for solid-type syncope, and nourishing blood and qi for deficient-type syncope. 

For solid-type syncope, the primary treatment involves using a modified Tongdu decoction (from 'Jingyue Quanshu' by Zhang Jiebin) with a prescription of 12g Angelicae Sinensis Radix, 12g Carthami Flos, 15g Crataegi Fructus, 12g Linderae Radix, 12g Aurantii Pericarpium, 9g Aucklandiae Radix, 10g Cyperi Rhizoma, 15g Uncariae Ramulus Cum Uncis, and 30g Margarita. This mixture should be decocted in water and taken orally. 

For deficient-type syncope, the treatment focuses on nourishing qi and blood. The primary formula is Ren Shen Yang Ying Tang (from 'Taiping Huimin Heji Jufang' by Chen Shihwen et al.) with adjustments. The prescription includes 12g Ginseng (separately decocted), 30g Astragali Radix, 10g Angelicae Sinensis Radix, 15g Rehmanniae Radix Preparata, 12g Paeoniae Radix Alba, and 9g Schisandrae Fructus, decocted in water and taken orally. For those with cold limbs and weak breathing following perspiration, 12g processed Aconiti Lateralis Radix Preparata and 10g Zingiberis Rhizoma Recens can be added. 

Additionally, proprietary Chinese medicines like Shenmai Injection or Shengmai Injection can be used, either 20ml mixed with 20ml of 25% glucose solution for intravenous injection every 10-15 minutes for 3-5 times or 50-100ml mixed with 250-500ml of 5% glucose solution or saline for continuous intravenous drip until improvement is noted."
"Papules, excessive follicular keratinization",Keratosis Pilaris,"Treatment options for Keratosis Pilaris include oral administration of vitamins A and E capsules, in conjunction with a compound vitamin B formulation. Topical applications of keratolytic agents such as 0.1% tretinoin cream, 3% salicylic acid ointment, and 20% urea cream can facilitate the dissolution of keratin. For patients prone to infection, the application of mupirocin ointment is advisable, and severe infections may necessitate systemic anti-infection therapy. The prognosis is generally good, with most cases naturally subsiding within several months without any subjective symptoms."
